Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,Game_IDs,game_id,date,team_id,points,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,min
2022-11-03,26,11,226.5,-9.5,330,-440,259,1,2,2,11167,11167.0,2022-11-03,11.0,129.0,50.0,97.0,71.7,10.0,15.0,66.7,19.0,43.0,44.2,9.0,26.0,35.0,31.0,32.0,5.0,14.0,3.0,-1.0,240.0
2022-11-03,25,9,228.5,-6.5,205,-255,232,-12,2,4,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04,10,7,215.5,-3.5,135,-165,200,-24,2,2,11169,11169.0,2022-11-04,10.0,88.0,31.0,83.0,37.3,13.0,15.0,86.7,13.0,37.0,35.1,9.0,25.0,34.0,16.0,22.0,10.0,19.0,6.0,-24.0,240.0
2022-11-04,10,7,215.5,-3.5,135,-165,200,-24,2,2,11169,11169.0,2022-11-04,7.0,112.0,44.0,81.0,86.7,13.0,16.0,81.3,11.0,26.0,42.3,10.0,37.0,47.0,30.0,15.0,5.0,19.0,13.0,24.0,240.0
2022-11-04,41,4,222.5,2.5,-145,115,214,-42,2,3,11172,11172.0,2022-11-04,41.0,86.0,30.0,83.0,36.1,18.0,22.0,81.8,8.0,34.0,23.5,7.0,32.0,39.0,18.0,15.0,4.0,13.0,3.0,-42.0,240.0
2022-11-04,41,4,222.5,2.5,-145,115,214,-42,2,3,11172,11172.0,2022-11-04,4.0,128.0,50.0,90.0,81.8,14.0,14.0,100.0,14.0,28.0,50.0,7.0,41.0,48.0,32.0,19.0,8.0,9.0,7.0,42.0,240.0
2022-11-04,27,24,220.5,0.5,-115,-115,210,-2,2,2,11171,11171.0,2022-11-04,27.0,104.0,37.0,98.0,37.8,17.0,21.0,81.0,13.0,47.0,27.7,13.0,31.0,44.0,27.0,25.0,12.0,15.0,8.0,-2.0,240.0
2022-11-04,27,24,220.5,0.5,-115,-115,210,-2,2,2,11171,11171.0,2022-11-04,24.0,106.0,37.0,80.0,81.0,23.0,27.0,85.2,9.0,33.0,27.3,10.0,40.0,50.0,24.0,21.0,5.0,22.0,8.0,2.0,240.0
2022-11-04,15,20,225.5,-2.5,115,-145,200,2,4,2,11170,11170.0,2022-11-04,15.0,101.0,37.0,80.0,46.3,15.0,23.0,65.2,12.0,39.0,30.8,5.0,37.0,42.0,28.0,19.0,7.0,19.0,5.0,2.0,240.0
2022-11-04,15,20,225.5,-2.5,115,-145,200,2,4,2,11170,11170.0,2022-11-04,20.0,99.0,31.0,81.0,65.2,26.0,26.0,100.0,11.0,39.0,28.2,8.0,34.0,42.0,17.0,22.0,10.0,19.0,2.0,-2.0,240.0
2022-11-04,2,6,223.5,7.5,-280,220,242,4,2,2,11173,11173.0,2022-11-04,2.0,123.0,41.0,83.0,49.4,32.0,39.0,82.1,9.0,31.0,29.0,7.0,32.0,39.0,24.0,23.0,5.0,14.0,7.0,4.0,240.0
2022-11-04,2,6,223.5,7.5,-280,220,242,4,2,2,11173,11173.0,2022-11-04,6.0,119.0,43.0,83.0,82.1,22.0,25.0,88.0,11.0,28.0,39.3,4.0,33.0,37.0,21.0,28.0,8.0,17.0,5.0,-4.0,240.0
2022-11-04,31,16,227.5,-2.5,110,-140,219,-7,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04,19,5,226.5,11.5,-625,440,229,31,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04,8,38,216.5,4.5,-185,150,221,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04,23,11,227.0,10.5,-520,410,219,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,
