id,player_id,name,team_id
2859,2859,Ish Wainright,28
3408,3408,Scoot Henderson,29
3487,3487,Shaedon Sharpe,29
3418,3418,Jamaree Bouyea,29
3496,3496,Jabari Walker,29
3714,3714,Justin Minaya,29
4014,4014,Ibou Badji,29
4015,4015,Toumani Camara,29
4017,4017,Kris Murray,29
4018,4018,Duop Reath,29
4069,4069,R. Rupert,29
200,200,Jerami Grant,29
3724,3724,Taze Moore,29
3614,3614,George Conditt IV,29
64,64,Devin Booker,28
926,926,Grayson Allen,28
2565,2565,Udoka Azubuike,28
1010,1010,Josh Okogie,28
966,966,Drew Eubanks,28
1849,1849,Bol Bol,28
1875,1875,Nassir Little,28
2610,2610,Saben Lee,28
4087,4087,I. Thomas,28
153,153,Kevin Durant,28
570,570,Thaddeus Young,28
196,196,Eric Gordon,28
45,45,Bradley Beal,28
398,398,Jusuf Nurkic,28
