Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away
11/25/22,16,9,218.5,-4.5,140,-175,218,-10,2,2
11/26/22,38,8,214.5,-2.5,125,-145,205,5,3,3
11/26/22,31,17,231,0,-120,100,281,-5,1,1
11/26/22,14,25,232.5,-2.5,105,-135,223,13,1,1
11/26/22,28,40,232,6,-240,200,225,1,1,1
11/27/22,4,29,223.5,7.5,-325,255,208,14,2,2
11/27/22,22,11,237.5,-1,100,-120,251,-23,2,2
11/27/22,16,15,221,-2,110,-130,214,14,2,2
11/27/22,1,20,226,4,-170,145,204,-8,2,2
11/27/22,10,7,218.5,-8,255,-305,196,-8,2,2
11/27/22,2,41,220.5,8,-330,275,251,9,2,2
11/27/22,24,19,227.5,-1.5,105,-135,250,-4,2,2
11/27/22,26,27,213,1,-110,-110,236,-30,2,2
11/27/22,21,8,216,5.5,-225,190,239,9,2,1
11/28/22,41,22,242.5,4.5,-175,140,269,15,1,1
11/28/22,27,1,220.5,2.5,-140,120,205,3,1,1
11/28/22,4,26,228.5,9.5,-450,340,211,7,1,1
11/28/22,2,5,225.5,11.5,-600,430,245,35,1,3
11/28/22,38,7,218.5,5,-190,160,188,12,2,1
11/28/22,23,25,232.5,5.5,-210,180,206,4,3,2
11/28/22,9,14,228,11,-560,430,242,16,3,2
11/28/22,40,6,235,2.5,-135,115,221,-7,2,3
11/28/22,30,28,234.5,1,-110,-110,239,-5,3,2
11/28/22,17,15,237.5,3.5,-170,145,231,-1,2,1
11/29/22,10,24,225.5,-4,155,-180,250,-30,2,2
11/29/22,8,11,227.5,-1.5,-105,-125,229,3,2,2
11/29/22,29,16,211.5,4.5,-180,145,230,-6,2,2
11/30/22,26,1,228,-6.5,210,-250,233,-17,2,2
11/30/22,7,27,209,3.5,-165,140,198,28,2,2
11/30/22,24,21,204.5,-4.5,175,-215,212,-6,1,3
11/30/22,4,41,223.5,6.5,-355,275,220,6,2,2
11/30/22,2,20,245.5,9.5,-690,470,255,13,2,3
11/30/22,23,38,233.5,7.5,-345,265,234,18,2,2
11/30/22,25,31,236.5,0.5,-110,-120,230,8,2,4
11/30/22,22,19,220.5,-2.5,110,-140,210,8,2,3
11/30/22,9,14,236.5,20.5,-4000,1300,220,20,2,2
11/30/22,28,6,224.5,8.5,-400,300,245,19,2,2
11/30/22,40,16,229.5,9.5,-475,350,237,13,2,1
11/30/22,30,15,242.5,4.5,-190,160,251,23,2,2
11/30/22,17,29,224,6,-240,200,237,19,2,1
12/1/22,10,8,221.5,-8,260,-315,256,6,2,2
12/2/22,5,41,226,-4,150,-175,233,1,4,2
12/2/22,7,26,212.5,12.5,-810,540,203,11,2,2
12/2/22,1,9,224.5,-1.5,105,-135,226,8,2,2
12/2/22,2,20,228.5,4.5,-195,160,236,-4,2,2
12/2/22,4,38,224.5,11.5,-585,420,219,9,2,2
12/2/22,21,17,237.5,5.5,-240,195,262,-4,2,2
12/2/22,31,23,233.5,-7.5,255,-325,216,-18,2,2
12/2/22,19,27,214.5,5.5,-215,175,226,8,2,2
12/2/22,28,14,229.5,11.5,-645,480,243,-1,2,2
12/2/22,40,15,239.5,3.5,-165,140,258,20,2,2
12/2/22,11,6,237,7,-275,230,230,8,3,2
12/3/22,24,8,224.5,-1.5,100,-120,221,-21,3,2
12/3/22,16,30,227.5,-4,145,-170,219,-27,3,3
12/3/22,5,21,220,-2,105,-125,201,-9,1,1
12/3/22,38,26,220.5,11.5,-645,480,229,13,1,1
12/3/22,22,25,233,5.5,-210,180,263,-7,3,3
12/3/22,11,14,235.5,11.5,-610,460,221,19,1,1
12/3/22,40,29,228,5.5,-205,175,227,-5,1,3
12/4/22,23,9,231,1.5,-125,105,227,15,2,2
12/4/22,31,28,231,-10,390,-490,228,-38,2,2
12/4/22,4,2,230.5,-2.5,115,-135,195,-11,2,2
12/4/22,41,17,233.5,1.5,-130,110,249,-11,2,2
12/4/22,30,6,239.5,3,-145,125,211,9,1,2
12/4/22,24,7,222.5,-2.5,120,-140,173,11,1,2
12/4/22,10,19,228.5,-6.5,215,-255,234,-10,3,2
12/4/22,29,15,233,5,-200,170,216,16,1,2
12/5/22,26,21,226.5,-10.5,420,-540,211,-7,2,2
12/5/22,5,16,217.5,-6.5,200,-240,236,-2,2,2
12/5/22,38,2,228.5,1.5,-125,105,226,-6,2,1
12/5/22,1,25,237,6.5,-240,200,235,-7,3,2
12/5/22,14,27,222.5,-7.5,280,-340,255,9,2,3
12/5/22,19,20,218.5,-5.5,180,-210,194,8,1,3
12/5/22,8,28,223,3,-155,135,241,19,2,1
12/5/22,11,15,240.5,12.5,-645,480,216,-8,2,1
12/6/22,7,17,224.5,6,-215,175,218,14,2,2
12/6/22,20,10,215.5,8.5,-440,330,212,-20,1,2
12/6/22,9,8,223.5,4,-185,150,231,-1,2,1
12/7/22,26,16,216.5,-6.5,220,-260,227,5,2,2
12/7/22,24,1,232.5,2,-135,115,202,24,3,2
12/7/22,38,17,229,12,-750,550,239,13,2,1
12/7/22,4,5,223,10,-500,400,238,6,3,2
12/7/22,23,10,229,11,-540,420,202,6,3,1
12/7/22,19,25,233,8.5,-330,275,225,21,2,2
12/7/22,6,41,227,5,-190,160,226,4,3,3
12/7/22,21,30,236,6.5,-255,215,239,13,2,3
12/7/22,22,15,237,5.5,-205,175,236,6,4,2
12/7/22,40,11,230.5,5.5,-215,185,247,1,4,2
12/7/22,28,2,229.5,1.5,-120,100,223,-27,2,2
12/8/22,20,16,211,6.5,-260,220,225,5,2,1
12/8/22,31,14,230,-2,110,-130,227,9,4,3
12/8/22,29,9,227.5,-1.5,100,-120,241,-1,4,2
12/9/22,5,24,223.5,-4,150,-175,223,-19,2,2
12/9/22,15,41,233,3.5,-165,140,232,10,2,2
12/9/22,26,38,222.5,-8,255,-325,222,4,2,2
12/9/22,7,30,217,3.5,-165,140,201,-11,3,2
12/9/22,27,17,228,5,-195,165,255,11,4,2
12/9/22,4,1,233,7.5,-305,255,236,4,2,2
12/9/22,19,10,227.5,11,-540,420,217,11,2,2
12/9/22,23,28,229,-1,-105,-115,245,11,2,2
12/9/22,40,22,234.5,-1,-105,-115,226,-10,2,2
12/9/22,8,21,224.5,-1,-110,-110,211,-1,3,2
12/10/22,20,31,223,12,-800,575,226,-4,2,2
12/10/22,15,4,226.5,8.5,-340,280,269,-3,1,1
12/10/22,41,16,221.5,-2.5,110,-140,221,-7,1,2
12/10/22,7,25,217.5,5,-195,165,212,8,1,3
12/10/22,6,8,220.5,5,-195,165,259,29,3,1
12/10/22,11,2,238,-2.5,120,-140,230,16,3,3
12/10/22,9,40,228.5,11.5,-625,470,225,5,2,1
12/10/22,29,22,230,5,-195,165,242,6,2,1
12/11/22,23,28,227.5,4,-165,140,253,5,2,2
12/11/22,10,17,233,-5,180,-210,241,-7,2,2
12/11/22,24,30,226,2.5,-140,120,211,13,2,2
12/11/22,27,5,220,10.5,-520,410,244,18,2,2
12/11/22,26,38,223.5,-7,225,-265,210,12,2,2
12/11/22,1,6,235.5,3.5,-160,130,245,1,2,1
12/11/22,14,21,227,-10,370,-460,189,5,3,2
12/12/22,41,4,227,-5.5,180,-210,212,-12,2,2
12/12/22,15,20,228.5,-3.5,135,-155,169,-5,2,2
12/12/22,19,1,220.5,9.5,-450,360,231,25,3,1
12/12/22,8,25,226.5,9,-360,295,235,7,2,2
12/12/22,31,7,221.5,-9.5,340,-425,223,1,2,2
12/12/22,29,22,230,3.5,-170,145,245,21,2,2
12/12/22,16,2,225,-4,155,-180,206,20,2,2
12/13/22,27,30,229.5,4,-180,155,226,20,2,2
12/13/22,21,11,232.5,2.5,-140,120,239,17,2,3
12/13/22,14,28,224.5,-6.5,215,-255,208,14,2,2
12/13/22,40,23,232,-2,110,-130,221,21,3,2
12/13/22,17,2,237,-4,140,-175,240,-4,2,1
12/14/22,26,1,226,-3,130,-150,259,11,3,2
12/14/22,15,11,228.5,-1.5,110,-140,244,6,2,1
12/14/22,5,10,230,4.5,-190,160,275,-7,3,3
12/14/22,38,30,232,5,-200,170,247,-1,3,1
12/14/22,6,24,226.5,3.5,-160,130,248,-8,3,3
12/14/22,31,29,231,-7.5,240,-285,240,-16,2,2
12/14/22,25,20,222.5,-2.5,125,-145,218,-2,2,2
12/14/22,8,7,217,2.5,-140,120,195,-15,2,2
12/14/22,9,41,224.5,11.5,-625,470,269,13,4,2
12/14/22,16,22,222.5,6.5,-265,210,187,11,2,2
12/15/22,19,21,226.5,3,-155,135,243,41,3,2
12/15/22,14,20,216.5,-3,130,-150,219,-3,2,1
12/15/22,40,23,232.5,-1.5,100,-120,261,3,2,2
12/15/22,16,28,218.5,-6.5,210,-250,206,-16,1,2
12/16/22,5,1,239.5,4.5,-165,135,231,-19,2,2
12/16/22,10,30,238.5,-6.5,205,-245,235,-9,2,2
12/16/22,7,15,222,8,-330,275,230,6,2,2
12/16/22,2,26,225.5,13,-975,675,226,-8,3,2
